BD+60 499     02 32 16.75 +61 33 15.0 tablec1.dat
BD-13 4930    18 18 52.67 -13 49 42.6 tablec1.dat
CPD-28 2561   07 55 52.85 -28 37 46.8 tablec1.dat
HD 108        00 06 03.39 +63 40 46.8 tablec1.dat
HD 13745      02 15 45.93 +55 59 46.7 tablec1.dat
HD 14633      02 22 54.29 +41 28 47.7 tablec1.dat
HD 148937     16 33 52.39 -48 06 40.5 tablec1.dat
HD 149038     16 34 05.02 -44 02 43.1 tablec1.dat
HD 149757     16 37 09.52 -10 34 01.7 tablec1.dat
HD 151804     16 51 33.72 -41 13 49.9 tablec1.dat
HD 152233     16 54 03.59 -41 47 29.8 tablec1.dat
HD 152247     16 54 11.52 -41 38 31.0 tablec1.dat
HD 152249     16 54 11.64 -41 50 57.3 tablec1.dat
HD 152408     16 54 58.51 -41 09 03.1 tablec1.dat
HD 153919     17 03 56.77 -37 50 38.9 tablec1.dat
HD 154368     17 06 28.37 -35 27 03.8 tablec1.dat
HD 154643     17 08 13.98 -35 00 15.7 tablec1.dat
HD 155806     17 15 19.25 -33 32 54.3 tablec1.dat
HD 156154     17 17 27.01 -35 32 12.0 tablec1.dat
HD 162978     17 54 54.04 -24 53 13.5 tablec1.dat
HD 164492     18 02 23.55 -23 01 50.9 tablec1.dat
HD 167263     18 15 12.97 -20 23 16.7 tablec1.dat
HD 167264     18 15 12.91 -20 43 41.8 tablec1.dat
HD 186980     19 46 15.90 +32 06 58.2 tablec1.dat
HD 188001     19 52 21.77 +18 40 18.8 tablec1.dat
HD 188209     19 51 59.07 +47 01 38.4 tablec1.dat
HD 189957     20 01 00.00 +42 00 30.8 tablec1.dat
HD 192281     20 12 33.12 +40 16 05.4 tablec1.dat
HD 192639     20 14 30.43 +37 21 13.8 tablec1.dat
HD 201345     21 07 55.42 +33 23 49.2 tablec1.dat
HD 203064     21 18 27.19 +43 56 45.4 tablec1.dat
HD 206183     21 38 26.28 +56 58 25.5 tablec1.dat
HD 207198     21 44 53.28 +62 27 38.0 tablec1.dat
HD 207538     21 47 39.79 +59 42 01.3 tablec1.dat
